endTime,artistName,trackName,msPlayed
2021-05-22 00:25,Los Ángeles Azules,Me Cuesta Tanto Olvidarte,93993
2021-05-25 05:57,Fobia,Vivo,2834
2021-05-25 05:57,T.M.Revolution,HEART OF SWORD 〜夜明け前〜,7401
2021-05-25 05:57,T.M.Revolution,HEART OF SWORD 〜夜明け前〜,244333
2021-05-25 06:03,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,341746
2021-05-25 07:03,Disclosure,Latch,90976
2021-05-25 13:33,Bunbury,Aunque no sea conmigo,6160
2021-05-25 13:36,Noriega,Linda Estrella (feat. Baby Rasta y Gringo),174126
2021-05-25 13:39,Coti,Nada Fue Un Error - Live In Spain / 2005,225693
2021-05-25 13:40,Moderatto,Mil Demonios,47165
2021-05-25 13:40,Los Cafres,Si el Amor Se Cae - Versión 25 Años [Live],2909
2021-05-25 13:45,Fito y Fitipaldis,Soldadito marinero,254373
2021-05-25 13:45,Vico C,Companera,6192
2021-05-25 13:48,Bacilos,Lo Mismo Que Yo,207946
2021-05-25 13:52,Vicentico,Los Caminos de la Vida,239040
2021-05-25 13:56,Franz Ferdinand,Take Me Out,237026
2021-05-25 14:00,Phoenix,Lisztomania,241546
2021-05-25 14:03,Vico C,5 de Septiembre - Reggaeton Version,177373
2021-05-25 14:07,Shakira,Underneath Your Clothes,224066
2021-05-25 14:12,Daft Punk,Digital Love,301373
2021-05-25 14:18,El Gran Combo De Puerto Rico,Arroz Con Habichuela,356640
2021-05-25 14:23,Bomba Estéreo,El Alma y el Cuerpo,301173
2021-05-25 14:28,Duke Dumont,I Got U,285596
2021-05-25 14:31,Molotov,Frijolero,210133
2021-05-25 14:36,Peter Bjorn and John,Young Folks,276693
2021-05-25 14:41,Shakira,Que Me Quedes Tú,287333
2021-05-25 14:44,Katy Perry,Teenage Dream,227741
2021-05-25 14:49,Metronomy,The Bay,290173
2021-05-25 14:53,La Mosca Tse-Tse,Te Quiero Comer La Boca,204933
2021-05-25 14:55,Zoé,Soñé - En Vivo,160309
